Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6695.000000,6780.000000,6680.000000,6690.000000,6168.911133,49445000
2020-01-03,6750.000000,6800.000000,6725.000000,6800.000000,6270.343750,47755500
2020-01-06,6720.000000,6750.000000,6690.000000,6735.000000,6210.405273,27300000
2020-01-07,6735.000000,6770.000000,6730.000000,6740.000000,6215.016113,45022500
2020-01-08,6670.000000,6745.000000,6670.000000,6680.000000,6159.690430,53692500
2020-01-09,6740.000000,6755.000000,6730.000000,6740.000000,6215.016113,40363500
2020-01-10,6765.000000,6825.000000,6710.000000,6725.000000,6201.185547,73362000
2020-01-13,6740.000000,6760.000000,6735.000000,6745.000000,6219.627441,67855000
2020-01-14,6745.000000,6885.000000,6740.000000,6870.000000,6334.890625,93582000
2020-01-15,6870.000000,7060.000000,6800.000000,6835.000000,6302.617188,75623500
2020-01-16,6805.000000,6890.000000,6795.000000,6850.000000,6316.448242,88931500
2020-01-17,6840.000000,6890.000000,6800.000000,6875.000000,6339.501953,38249500
2020-01-20,6950.000000,6975.000000,6830.000000,6835.000000,6302.617188,93554500
2020-01-21,6885.000000,6895.000000,6825.000000,6830.000000,6298.007324,103984500
2020-01-22,6855.000000,6895.000000,6835.000000,6840.000000,6307.227539,94311500
2020-01-23,6885.000000,6895.000000,6830.000000,6840.000000,6307.227539,87728000
2020-01-24,6820.000000,6880.000000,6810.000000,6810.000000,6279.564941,69653500
2020-01-27,6865.000000,6940.000000,6815.000000,6840.000000,6307.227539,39679000
2020-01-28,6835.000000,6845.000000,6755.000000,6790.000000,6261.122559,82615000
2020-01-29,6800.000000,6845.000000,6770.000000,6785.000000,6256.511719,43821000
2020-01-30,6845.000000,6845.000000,6730.000000,6740.000000,6215.016113,71990000
2020-01-31,6800.000000,6805.000000,6480.000000,6480.000000,5975.267578,163136500
2020-02-03,6480.000000,6585.000000,6370.000000,6440.000000,5938.383789,149797000
2020-02-04,6570.000000,6620.000000,6520.000000,6600.000000,6085.921387,113316500
2020-02-05,6780.000000,6780.000000,6650.000000,6730.000000,6205.795898,123002500
2020-02-06,6740.000000,6780.000000,6680.000000,6740.000000,6215.016113,154693500
2020-02-07,6710.000000,6780.000000,6705.000000,6760.000000,6233.458496,82609000
2020-02-10,6760.000000,6785.000000,6630.000000,6785.000000,6256.511719,66578500
2020-02-11,6785.000000,6785.000000,6745.000000,6780.000000,6251.901367,77526500
2020-02-12,6800.000000,6800.000000,6760.000000,6800.000000,6270.343750,69971500
2020-02-13,6820.000000,6820.000000,6740.000000,6790.000000,6261.122559,49737000
2020-02-14,6780.000000,6795.000000,6675.000000,6680.000000,6159.690430,147028500
2020-02-17,6680.000000,6750.000000,6680.000000,6720.000000,6196.575195,115319000
2020-02-18,6685.000000,6720.000000,6670.000000,6695.000000,6173.521973,98436500
2020-02-19,6665.000000,6760.000000,6665.000000,6695.000000,6173.521973,74594000
2020-02-20,6690.000000,6695.000000,6565.000000,6595.000000,6081.310547,136724500
2020-02-21,6600.000000,6660.000000,6595.000000,6615.000000,6099.752930,98261000
2020-02-24,6565.000000,6600.000000,6510.000000,6525.000000,6016.764160,84910000
2020-02-25,6550.000000,6560.000000,6510.000000,6530.000000,6021.373535,86446500
